b,Score,Result (Text),Tags
39,54,Этот результат указывает на значительный творческий потенциал в тебе. У тебя множество возможностей и различных способов для выражения собственной креативности.,"Большой творческий потенциал, наличие богатого выбора возможностей, доступность разнообразных форм творчества"
29,13,"Твой результат подчеркивает твою способность к мобильности, быстрому переключению и адаптации к новым требованиям.","Хорошая мобильность, умение быстро переключаться, умение подстраиваться "
29,27,"Твой результат подчеркивает, что ты способен проявлять как черты ригидности, так и черты мобильности в разных ситуациях, в зависимости от обстоятельств.","Проявление как ригидности, так и мобильности "
29,50,"Твой результат свидетельствует о высокой степени ригидности в поведении. В некоторых ситуациях ты можешь столкнуться с трудностями или оказаться в сложном положении, когда требуется быстрая реакция и адаптация к изменениям.","Высокая ригидность, тяжело реагировать и адаптироваться "
32,3,"Твоя коммуникабельность выражена сильно. Ты обычно говоришь много и можешь вмешиваться в ситуации, даже если они не имеют непосредственного отношения к тебе. Иногда ты высказываешь свои мнения по вопросам, в которых не имеешь должной компетенции, что может вызывать конфликты. Иногда ты бываешь вспыльчивым и обидчивым, и твои оценки не всегда объективны. Работа, где требуется более серьезный и сдержанный подход, может не подходить для тебя. Твои взаимодействия с людьми могут вызывать трудности, поэтому развивать терпимость, сдержанность и уважение к другим будет важным шагом. Также следует уделять внимание своему здоровью, так как такой образ жизни может негативно влиять на него.","Очень высокая коммуникабельность, говорливость, вспыльчивость, обидчивость, иногда необъективность, нетерпеливость, несдержанность, иногда отсутствие уважения к другим"
32,8,"Ты определенно общительный человек, который любит быть в центре внимания и всегда в курсе событий. Ты активно участвуешь в дискуссиях, даже если темы вызывают у тебя негативные эмоции. Ты склонен брать слово по разным вопросам, даже если знание темы поверхностное. Ты комфортно чувствуешь себя в разных обстановках и участвуешь в различных делах, хотя не всегда завершаешь их успешно. Важно учесть эти факты и, возможно, поработать над более сбалансированным подходом к общению и задачам.","Высокая коммуникабельность, всегда в курсе дел, участие во всех дискуссиях, всегда чувствует себя в «своей тарелке», не всегда успешно доводит дела до конца, средняя степень ненадежности "
32,13,"Ты являешься очень общительным человеком, который иногда может быть слишком разговорчивым. Ты проявляешь интерес к разным темам и готов активно обсуждать их, но бывает, что это вызывает раздражение у окружающих. Ты открыт к новым знакомствам и часто находишься в центре внимания. Ты стараешься помогать другим, но не всегда можешь удовлетворить все просьбы. Иногда у тебя возникают вспышки эмоций, но ты быстро приходишь в себя. Тебе может не хватать усидчивости, терпения и решимости при решении серьезных проблем, но при наличии мотивации ты способен справиться с ними.","Средняя общительность с тенденцией к высокой, любопытство, разговорчивость, любит высказываться по разным вопросам, охотно знакомиться с новыми людьми, любит быть в центре внимания, не отказывает в просьбах, средняя вспыльчивость, неусидчивость, нетерпимость, страх перед серьезными проблемами"
32,18,"Уровень твоей коммуникабельности находится в норме. Ты интересуешься другими и готов/а внимательно слушать интересных собеседников, проявляя терпимость в общении. Ты способен/а отстаивать свою точку зрения без излишней эмоциональности. Новые знакомства обычно не вызывают у тебя сильных стрессов, но при этом ты не слишком приветствуешь шумные и эксцентричные компании, которые могут вызвать у тебя раздражение.","Средняя коммуникабельность, любознательность, терпеливость в общении, отстаивание своей точки зрения, спокойствие, раздражает многословие, раздражает экстравагантность, против шумных компаний "
32,24,"Ты обладаешь некоторой степенью коммуникабельности и способен\а чувствовать себя уверенно в незнакомой обстановке. Новые проблемы не пугают тебя. Однако, в общении с новыми людьми ты иногда испытываешь опасение и неохотно участвуешь в спорах и диспутах. Твои высказывания иногда слишком саркастичны без веской причины. Но эти недостатки вполне исправимы при желании.","Средняя общительность с тенденцией к низкой, уверенность в незнакомой обстановке, отсутствие страха новых проблем, нежелание участвовать в дискуссиях, высокая саркастичность "
32,29,"Ты в определенной мере общительный и в целом чувствуешь себя комфортно в незнакомой обстановке. Новые задачи и проблемы не пугают тебя. Но при общении с новыми людьми ты время от времени ощущаешь некоторую тревожность и не всегда с легкостью участвуешь в спорах и обсуждениях. Иногда в твоих высказываниях бывает слишком много сарказма, даже если нет на то веских причин. Но при достаточной мотивации и усилиях, эти недостатки могут быть исправлены.","Замкнутость, неразговорчивость, предпочитает одиночество, имеет мало друзей, не любит новых контактов "
32,31,"Кажется, что ты имеешь тенденцию к некоммуникабельности, и это может оказывать негативное воздействие, в первую очередь, на тебя самого\саму. Такое поведение также может затруднять взаимодействие с близкими людьми и снижать надежность в совместных задачах. Попробуй усердно работать над тем, чтобы стать более общительным\общительной и более контролировать свои реакции.","Некоммуникабельность, не любит групповой работы "
54,36,"Вероятно, у тебя низкий уровень эмпатии. Ты можешь испытывать трудности в общении с людьми, особенно в больших группах. Поступки и эмоциональные проявления окружающих могут казаться тебе сложными для понимания, и ты предпочитаешь работу, где можешь работать в одиночку, так как это для тебя более продуктивно. В выборе друзей ты, скорее всего, ценишь их деловые качества и ум, чем их способность к чувствительности и отзывчивости.","Низкий уровень эмпатии, трудности во взаимоотношениях с окружающими, продуктивность в индивидуальной работе, склонность к рациональным решениям, ценит других за деловые качества и ясный ум"
54,62,"Ты обладаешь средней степенью эмпатии. В межличностных отношениях ты предпочитаешь оценивать людей на основе их поступков, вместо того чтобы полагаться исключительно на свои собственные впечатления. Ты обычно способен контролировать свои эмоции, но иногда бывает сложно предсказать, как разовьется общение между людьми.","Средний уровень эмпатии, судит других по поступкам, сильный контроль своих эмоций"
54,90,"У тебя высокий уровень эмпатии, что означает, что ты обладаешь низкой агрессивностью и не склонен к насилию. Ты также проявляешь покладистость, уступчивость и готовность прощать других, хотя можешь быть более эмоциональным и склонным к проявлению чувств, включая расстройство и слезы. Твои моральные принципы и положительные социальные черты играют важную роль в твоей жизни.","Высокий уровень эмпатии, покладистость, уступчивость, готовность прощать всех, кроме себя, готовность выполнять рутинную работу, высокая эмоциональность, часто расстраивается и плачет, мораль и позитивные социальные черты на первом месте "
34,3,"Твой коммуникативный стиль характеризуется низким контролем. Ты обычно проявляешь стабильное поведение и не часто меняешься в зависимости от ситуаций. Твоя коммуникация прямолинейна, и ты четко выражаешь свои мысли без лишних обиняков. Однако некоторые люди могут воспринимать тебя как слишком откровенного собеседника, и это может вызывать дискомфорт, особенно в ситуациях, где важны личные отношения, например, в женском коллективе.","Низкий коммуникативный контроль, устойчивость поведения, прямолинейность "
34,6,"Твой коммуникативный стиль характеризуется средним контролем. Ты обычно выражаешь себя искренне, но иногда не сдерживаешь свои эмоции. Ты способен подстраиваться в общении в зависимости от того, с кем разговариваешь.","Средний коммуникативный контроль, искренность, несдержанность, умение подстраиваться под окружающих "
34,10,"Ты обладаешь высоким уровнем коммуникативного контроля. Ты легко адаптируешься к различным обстановкам и хорошо предугадываешь, как твоя коммуникация будет воспринята окружающими. Ты успешно общаешься в профессиональном контексте. Однако, когда дело доходит до более глубоких и искренних отношений, ты иногда можешь чувствовать дискомфорт, освобождаясь от ролей и масок.","Высокий коммуникативный контроль, гибкость поведения, сложности в личных взаимоотношениях "
46,5,"Ты проявляешь стойкость и настойчивость в своем характере. Иногда кажется, что ты упорно отстаиваешь свою точку зрения и сталкиваешься с сопротивлением при попытках убедить других в ней. Ты временами повышаешь голос в разговоре. Такой характер может усложнять поддержание нормальных отношений с людьми, которые имеют другие мнения или не согласны с тобой.","Непреклонность, упрямство, часто повышает голос, сложности во взаимоотношениях с другими "
46,13,"Ты обладаешь способностью решительно защищать свои убеждения, но также у тебя есть гибкость в диалоге и готовность изменить свою точку зрения, если это обоснованно. Иногда ты можешь проявлять излишнюю резкость и недостаток уважения к собеседнику. В таких случаях у тебя есть потенциал одержать верх в споре с теми, кто менее уверен в себе. Тем не менее, стоит обдумать, стоит ли прибегать к конфронтации, когда можно победить более уважительным и сдержанным способом.","Высокая твердость, может менять мнение при необходимости, резкость, неуважение к собеседнику"
46,18,"Твоя уверенность в убеждениях искусно сочетается с гибкостью и тонкостью мышления. Ты способен воспринимать разнообразные идеи и проявлять понимание даже к на первый взгляд парадоксальным поступкам, даже если они не находят твоего одобрения. Ты оцениваешь свои мнения критически и способен с уважением и тактичностью отказаться от точек зрения, которые оказались ошибочными, взаимодействуя с собеседником.","Средняя твердость, гибкость ума, принятие, понимание, самокритичность"
38,4,"Ты проявляешь низкую тревожность. Это может делать тебя недалеким\недалекой, ленивым\ленивой и кажется, будто ты не всегда относишься ответственно. На самом деле, ты способен\способна переживать страх и напряжение, но только когда ситуация становится действительно опасной. Такой подход помогает сохранять спокойствие и мобилизовать ресурсы в критических моментах.","Низкий уровень тревоги, бесчувственность, лень, безответственность, страх, напряжение, спокойствие, мобилизация сил, хорошая реакция на критические ситуации"
38,14,"Этот результат указывает на средний уровень тревожности, с легкой тенденцией к низкому. Ты имеешь свои убеждения и способен\способна защищать их. Твоя самооценка выше среднего, и ты достаточно независим в своих взглядах. Ты спокойно принимаешь критику и редко переживаешь, если нет оснований для беспокойства. Но иногда можешь проявлять некоторую лень.","Средний уровень тревоги, уровень тревоги ближе к низкому, высокая самооценка, независимость взглядов, спокойное отношение к критике, иногда лень, объяснимые переживания  "
38,24,"Этот результат свидетельствует о среднем уровне тревожности с легкой тенденцией к повышенной тревожности. Ты обычно ощущаешь себя эмоционально уравновешенным\уравновешенной, со средней степенью общительности и умеренной самооценкой. По сравнению с теми, кто имеет высокий уровень тревожности, ты более открыт\открыта. Однако иногда ты можешь чувствовать беспричинную тревожность, даже когда конкретных причин для этого нет.","Средний уровень тревоги, уровень тревоги ближе к высокому, спокойное эмоциональное состояние, общительность, средняя самооценка, открытый человек, иногда беспричинное беспокойство "
38,39,"Этот результат указывает на высокий уровень тревожности. Вероятно, у тебя высокая эмоциональная чувствительность, но низкая самооценка. Ты часто реагируешь на критику, стесняешься высказывать свою точку зрения и проявлять чувства. Работа в стрессовых ситуациях может быть для тебя сложной. Ты ощущаешь потребность в признании и подтверждении, и физические проявления тревожности могут быть заметны. Может быть полезно научиться справляться с напряженными ситуациями и развивать самоконтроль, чтобы предотвратить возможные психосоматические проблемы.","Высокий уровень тревоги, высокая эмоциональность, низкая самооценка, восприимчивость к критике, страх высказывать своё мнение, страх выражать свои чувства, тяжело работать в стрессовых ситуациях, необходимость в признании, физические проявления тревожности "
38,50,"Этот результат указывает на крайне высокий уровень тревожности. Ты можешь чувствовать угрозу и беспокойство даже в ситуациях, которые не предполагают таких эмоций. Ты очень самокритичен\самокритична и сталкиваешься с трудностями в учебе, работе и общении с другими людьми. Иногда ты можешь даже проявлять агрессию к окружающим. Физически это может проявляться повышенной потливостью, метеоризмом, слабостью, учащенным дыханием и сердцебиением, а также покраснениями кожи. Важно научиться эффективно управлять этими эмоциями и физическими проявлениями для поддержания психофизического здоровья.","Очень высокий уровень тревоги, чувство угрозы, беспричинный дискомфорт, беспричинное беспокойство, высокая самокритичность, трудности в делах, агрессия при общении, слабость, учащенное дыхание, учащенное сердцебиение"
55,7,"Твоя самооценка находится в норме. Молодец, продолжай двигаться вперед!",Самооценка в норме 
55,15,"Временами у тебя бывает недостаток уверенности в себе, и уровень твоей самооценки находится в среднем диапазоне. Это область, которую стоит внимательно рассмотреть и заботливо развивать.","Отсутствие веры в себя, самооценка на среднем уровне"
55,25,"Вероятно, у тебя низкая самооценка. Это важный аспект, и стоит обратить на него внимание, так как низкая самооценка может влиять на различные сферы жизни, включая личные отношения и работу.","Низкая самооценка, проблемы в делах"
55,50,"Твоя самооценка кажется крайне низкой. Это может влиять на твою жизнь и самопонимание. Возможно, стоит обратить внимание на методы улучшения самооценки и самоприятия.","Крайне низкая самооценка, жертва обстоятельств, зависимость от чужих мнений, сложность найти себя, сложность реализоваться "
30,25,"Твой творческий потенциал ограничен, и, возможно, это связано с тем, что ты предпочитаешь следовать установленным шаблонам и избегать экспериментов. Креативность - это навык, который можно развивать, так что не бойся выходить за рамки привычного и пробовать новые идеи.","Креативность ограничена, трудности в генерации новых идей, ограниченность мышления, следование установленным шаблонам, предпочтение стандартных решений, избегание экспериментов и необычных подходов"
30,65,"На данном уровне ты проявляешь некоторую степень креативности. Ты способен генерировать новые идеи, хотя могут возникать сомнения в своих способностях. Ты гибко мыслишь и открыт/та для новых подходов, но иногда прибегаешь к уже известным решениям. Твоя креативность может развиваться дальше через практику и эксперименты. Не ограничивай себя стандартными рамками и продолжай искать новые идеи.","Креативность среднего уровня, гибкое мышление, новые идеи, не хватает самоуверенности, открытость для новых подходов"
30,80,"На данном уровне ты полностью проявляешь свою креативность. Ты способен генерировать оригинальные идеи и выделяешься среди других своей креативностью. Ты уверен(а) в своих способностях, готов(а) к экспериментам и нестандартным подходам. Твое мышление гибко и инновационно, и ты часто приходишь к новым и неожиданным решениям. Продолжай развивать свою креативность, она будет ценным инструментом в различных сферах твоей жизни.","Креативность в полной мере, свободное мышление, генерация оригинальных идей, уверенность в себе, открытость экспериментам"
49,,"Холерик: Если ты холерик, это означает, что у тебя высокий уровень активности и энергии. Ты решительный человек, часто берешь на себя лидерские роли и быстро реагируешь на события, что помогает тебе достигать целей. Однако иногда у тебя может не хватать терпения.",
49,,"Сангвиник: Если ты сангвиник, то ты обычно являешься общительным и оптимистичным человеком. Твоя энергия и позитивное отношение к жизни делают тебя приятным собеседником, способным легко устанавливать контакты и создавать положительную атмосферу вокруг себя.",
49,,"Меланхолик: Если ты меланхолик, то, скорее всего, ты глубокомысленный и чувствительный человек. Ты обращаешь внимание на детали, часто проявляешь креативность и имеешь развитый художественный вкус. Однако иногда ты можешь быть склонен к пессимизму и переживаниям.",
49,,"Флегматик: Если ты флегматик, это означает, что у тебя скорее спокойный и сдержанный характер. Ты обычно не проявляешь сильных эмоций и предпочитаешь подходить к событиям с уравновешенностью. Твоя реакция на события обычно более стабильная, и ты стараешься избегать конфликтов, предпочитая мирное и спокойное общение.",
23,24,"Ты стремишься быть воспринятым как надежное лицо, но иногда обстоятельства могут затруднить выполнение твоих обещаний. Твоё окружение не всегда воспринимает тебя всерьёз. Иногда ты делаешь поспешные шаги, о которых потом жалеешь. Ты любишь жить с фантазией и сосредотачиваться на текущем дне, что может вызывать раздражение в отношениях с педантами и теми, кто не проявляет воображения. Пунктуальность не всегда находится в числе твоих приоритетов, что иногда создаёт неприятности в отношениях с начальниками и близкими.","Ненадежность, опрометчивые шаги, раздражение к педантам, непунктуальность"
23,49,"Ты обычно стараешься держать своё слово и друзья могут рассчитывать на тебя, когда нужна помощь. Хотя абсолютная надежность не всегда является твоей главной целью, ты всё равно стремишься к этому. Благодаря своему характеру, ты пользуешься популярностью и признанием в своём окружении. Иногда у тебя может случаться забывчивость или опоздания, но ты обычно стараешься это исправить.","Средняя надежность, забывчивость мелких деталей "
23,69,"Сильные эмоции обычно не оказывают сильного влияния на мои решения, и я готов\готова нести ответственность за свои действия. Однако я понимаю, что иногда сложно поддерживать такую ""надежность"".","Средняя надежность с тенденцией к высокой, ответственность за свои действия "
23,75,"Сильные эмоции обычно не сильно влияют на мои решения, и я готов\готова нести ответственность за свои действия.","Высокая надежность, требовательность, категоричность, тщательность в работе, упорядоченность в жизни, глубокое обдумывание"
27,35,"Тебя характеризует высокая степень миролюбия, возможно, связанная с недостаточной уверенностью в собственных силах. Однако это не означает, что ты легко поддаёшься влиянию других. Тем не менее, иногда больше решительности могло бы тебе помочь.","Чрезмерное миролюбие, недостаточная уверенность в себе, своих силах и возможностях, мало решительности "
27,44,"Ты обладаешь умеренной агрессивностью, но при этом тебя отличает здоровое честолюбие и самоуверенность, что помогает тебе успешно продвигаться в жизни.","Средняя агрессивность, здоровое честолюбие, здоровая самоуверенность"
27,60,"У тебя есть избыточная агрессивность, и в некоторых случаях ты можешь стать неуравновешенным\неуравновешенной и жестким\жестоким к другим людям. Ты стремишься к достижению высоких позиций в управлении, полагаясь на собственные методы, и готов(а) идти к цели, даже если это приводит к жертвам среди окружающих.Тебя могут характеризовать взаимоотношения с коллегами, склонность к неприязни и наказаниям, которые ты применяешь при первой же возможности.","Высокая агрессивность, неуравновешенность, жестокость к другим, может идти по головам, мстительность, вызывает неприязнь "
