Text,Value,Question Id,Tags
Не согласен/Не согласна (Никогда),1,163,
Согласен/Согласна (Всегда),1,164,
Скорее согласен/Скорее согласна (Часто),2,164,
Скорее не согласен/Скорее не согласна (Редко),3,164,
Не согласен/Не согласна (Никогда),4,164,
Согласен/Согласна (Всегда),1,165,
Скорее согласен/Скорее согласна (Часто),2,165,
Скорее не согласен/Скорее не согласна (Редко),3,165,
Не согласен/Не согласна (Никогда),4,165,
Согласен/Согласна (Всегда),1,166,
Скорее согласен/Скорее согласна (Часто),2,166,
Скорее не согласен/Скорее не согласна (Редко),3,166,
Не согласен/Не согласна (Никогда),4,166,
Согласен/Согласна (Всегда),4,167,
Скорее согласен/Скорее согласна (Часто),3,167,
Скорее не согласен/Скорее не согласна (Редко),2,167,
Не согласен/Не согласна (Никогда),1,167,
Согласен/Согласна (Всегда),4,168,
Скорее согласен/Скорее согласна (Часто),3,168,
Скорее не согласен/Скорее не согласна (Редко),2,168,
Не согласен/Не согласна (Никогда),1,168,
Согласен/Согласна (Всегда),4,169,
Скорее согласен/Скорее согласна (Часто),3,169,
Скорее не согласен/Скорее не согласна (Редко),2,169,
Не согласен/Не согласна (Никогда),1,169,
Согласен/Согласна (Всегда),1,170,
Скорее согласен/Скорее согласна (Часто),2,170,
Скорее не согласен/Скорее не согласна (Редко),3,170,
Не согласен/Не согласна (Никогда),4,170,
Согласен/Согласна (Всегда),4,171,
Скорее согласен/Скорее согласна (Часто),3,171,
Скорее не согласен/Скорее не согласна (Редко),2,171,
Не согласен/Не согласна (Никогда),1,171,
Согласен/Согласна (Всегда),4,172,
Скорее согласен/Скорее согласна (Часто),3,172,
Скорее не согласен/Скорее не согласна (Редко),2,172,
Не согласен/Не согласна (Никогда),1,172,
Согласен/Согласна (Всегда),1,173,
Скорее согласен/Скорее согласна (Часто),2,173,
Скорее не согласен/Скорее не согласна (Редко),3,173,
Не согласен/Не согласна (Никогда),4,173,
Согласен/Согласна (Всегда),1,174,
Скорее согласен/Скорее согласна (Часто),2,174,
Скорее не согласен/Скорее не согласна (Редко),3,174,
Не согласен/Не согласна (Никогда),4,174,
Верно,0,175,
Не верно,1,175,Актёр(?)
Верно,1,176,
Не верно,0,176,
Верно,1,177,Актёр
Не верно,0,177,
Верно,1,178,
Не верно,0,178,
Верно,0,179,
Не верно,1,179,
Верно,1,180,Подстраиваеться
Не верно,0,180,
Верно,0,181,
Не верно,1,181,
Верно,1,182,Подстраиваеться
Не верно,0,182,
Верно,1,183,
Не верно,0,183,
Верно,1,184,
Не верно,0,184,
а) Да,0,185,
б) Нет,2,185,
"а) Чтобы участвовали только те, кто хорошо играет",0,186,
"б) Чтобы играли и те, кто еще не знает правил",2,186,
а) Да,0,187,
б) Нет,2,187,
"а) Если они не переступают допустимых границ,
меня это вообще не интересует",2,188,
"б) Мне всегда были неприятны люди, которые не
умеют себя контролировать",0,188,
а) Мне трудно было бы это сделать,0,189,
б) Я не обращаю внимания на такие вещи,2,189,Комунникабельность
"а) Если даже шутка и будет мне неприятна, я постараюсь ответить в такой же манере",0,190,
"б) Мне не нравятся ни сами шутки, ни шутники",2,190,
а) Да,0,191,
б) Нет,2,191,
"а) Мне, честно говоря, неприятно, что таким образом внимание отвлечено от меня",0,192,
б) Я лишь порадуюсь за него/нее,2,192,
а) Уходите пораньше под благовидным предлогом,2,193,
б) Вступаете в спор,0,193,
Да,0,194,Трудяга
Нет,1,194,
Да,1,195,
Нет,0,195,
Да,0,196,Тёплые руки
Нет,1,196,Холодные руки
Да,0,197,Голова
Нет,1,197,
Да,0,198,Уверенность
Нет,1,198,
Да,1,199,Нетерпеливый
Нет,0,199,
Да,1,200,
Нет,0,200,
Да,0,201,
Нет,1,201,
Да,1,202,
Нет,0,202,
Да,1,203,
Нет,0,203,
Да,1,204,Желудок
Нет,0,204,
Да,1,205,
Нет,0,205,
Да,1,206,
Нет,0,206,
Да,0,207,Уверенность
Нет,1,207,Стеснительный
Да,1,208,
Нет,0,208,
Да,0,209,
Нет,1,209,
Да,0,210,
Нет,1,210,
Да,1,211,
Нет,0,211,
Да,0,212,
Нет,1,212,
Да,0,213,
Нет,1,213,
Да,1,214,
Нет,0,214,
Да,0,215,
Нет,1,215,
Да,1,216,Кошмары
Нет,0,216,
Да,1,217,Серьзность
Нет,0,217,
Да,1,218,
Нет,0,218,
Да,1,219,
Нет,0,219,
Да,0,220,
Нет,1,220,
Да,1,221,Чувствительность
Нет,0,221,
Да,0,222,
Нет,1,222,
Да,1,223,
Нет,0,223,
Да,1,224,Желудок
Нет,0,224,
Да,1,225,
Нет,0,225,
Да,1,226,
Нет,0,226,
Да,1,227,
Нет,0,227,
Да,1,228,
Нет,0,228,
Да,1,229,
Нет,0,229,
Да,1,230,
Нет,0,230,
Да,1,231,Желудок
Нет,0,231,
Да,0,232,Пунктуальность
Нет,1,232,
Да,1,233,
Нет,0,233,
Да,0,234,
Нет,1,234,
Да,1,235,
Нет,0,235,
Да,0,236,
Нет,1,236,
Да,1,237,
Нет,0,237,
Да,1,238,
Нет,0,238,
Да,1,239,
Нет,0,239,
Да,1,240,
Нет,0,240,
Да,1,241,
Нет,0,241,
Да,1,242,Неверенный
Нет,0,242,Уверенный
Да,1,243,
Нет,0,243,
Да,0,244,
Нет,1,244,
Да,0,245,
Нет,1,245,Желудок
Да,1,246,
Нет,0,246,
Да,1,247,
Нет,0,247,
Да,1,248,
Нет,0,248,
Да,1,249,
Нет,0,249,
Нет,0,250,
Нет,1,250,
Да,0,251,
Нет,1,251,
Да,0,252,
Нет,1,252,
Да,1,253,
Нет,0,253,
Да,1,254,
Нет,0,254,
Да,1,255,
Нет,0,255,
Да,1,256,
Нет,0,256,
Да,1,257,
Нет,0,257,
Да,1,258,
Нет,0,258,
Да,1,259,
Нет,0,259,
Да,1,260,
Нет,0,260,
Да,1,261,
Нет,0,261,
Да,1,262,
Нет,0,262,
Да,1,263,
Нет,0,263,
Да,1,264,
Нет,0,264,
Да,1,265,
Нет,0,265,
Да,1,266,
Нет,0,266,
Да,1,267,
Нет,0,267,
Да,1,268,
Нет,0,268,
Да,1,269,
Нет,0,269,
Да,1,270,
Нет,0,270,
Да,1,271,
Нет,0,271,
Да,1,272,
Нет,0,272,
Да,1,273,
Нет,0,273,
Да,1,274,
Нет,0,274,
Да,1,275,
Нет,0,275,
Да,1,276,
Нет,0,276,
Да,1,277,
Нет,0,277,
Да,1,278,
Нет,0,278,
Да,1,279,Чувствительность
Нет,0,279,
Да,1,280,
Нет,0,280,
Да,1,281,
Нет,0,281,
Да,1,282,
Нет,0,282,
Да,1,283,
Нет,0,283,
Да,1,284,
Нет,0,284,
Да,1,285,
Нет,0,285,
Да,1,286,
Нет,0,286,
Да,1,287,
Нет,0,287,
Да,1,288,
Нет,0,288,
Да,1,289,
Нет,0,289,
Да,1,290,
Нет,0,290,
Да,1,291,
Нет,0,291,
Да,1,292,
Нет,0,292,Планировщик
Да,1,293,
Нет,0,293,
Да,1,294,
Нет,0,294,
Да,1,295,
Нет,0,295,
Да,1,296,
Нет,0,296,
Да,1,297,
Нет,0,297,
Да,1,298,Перфекционист
Нет,0,298,
Да,1,299,
Нет,0,299,
Да,1,300,
Нет,0,300,
Да,1,301,
Нет,0,301,
Да,1,302,
Нет,0,302,
Да,1,303,
Нет,0,303,
Да,1,384,
Нет,0,384,
Да,1,385,
Нет,0,385,
Да,1,386,
Нет,0,386,
Да,1,387,
Нет,0,387,
Да,0,388,Стратег
Нет,1,388,
Да,1,389,
Нет,0,389,
Да,1,390,
Нет,0,390,
Да,1,391,
Нет,0,391,
Да,1,392,
Нет,0,392,
Да,1,393,Отчаянность
Нет,0,393,
Да,1,394,Стеснительность
Нет,0,394,
Да,0,395,
Нет,1,395,
Да,1,396,
Нет,0,396,
Да,1,397,
Нет,0,397,
Да,0,398,Книголюб
Нет,1,398,
Да,1,399,
Нет,0,399,
Да,1,400,
Нет,0,400,
Да,0,401,
Нет,1,401,
Да,1,402,
Нет,0,402,
Да,0,403,
Нет,1,403,
Да,1,404,Мечтатель
Нет,0,404,
Да,1,405,
Нет,0,405,
Да,1,406,
Нет,0,406,
Да,1,407,
Нет,0,407,
Да,1,408,
Нет,0,408,
Да,1,409,
Нет,0,409,
Да,1,410,
Нет,0,410,
Да,1,411,
Нет,0,411,
Да,0,412,
Нет,1,412,
Да,0,413,
Нет,1,413,
Да,1,414,
Нет,0,414,
Да,0,415,
Нет,1,415,
Да,1,416,
Нет,0,416,
Да,0,417,
Нет,1,417,
Да,1,418,
Нет,0,418,
Да,1,419,
Нет,0,419,
Да,0,420,
Нет,1,420,
Да,1,421,
Нет,0,421,
Да,1,422,
Нет,0,422,Медлительность
Да,1,423,
Нет,0,423,
Да,0,424,Медлительность
Нет,1,424,
Да,0,425,
Нет,1,425,Пунктуальность
Да,1,426,Кошмары
Нет,0,426,
Да,1,427,Болтливость
Нет,0,427,
Да,1,428,
Нет,0,428,
Да,1,429,
Нет,0,429,
Да,1,430,
Нет,0,430,
Да,0,431,
Нет,1,431,
Да,1,432,Уверенность
Нет,0,432,
Да,1,433,
Нет,0,433,
Да,0,434,
Нет,1,434,
Да,1,435,
Нет,0,435,
Да,1,436,
Нет,0,436,
Да,0,437,
Нет,1,437,
Да,1,438,
Нет,0,438,
Да,0,439,
Нет,1,439,
Да,1,440,Плохой сон
Нет,0,440,
Да,5,441,
Нет,0,441,
Да,0,442,
Нет,5,442,
Да,5,443,
Нет,0,443,
Да,0,444,
Нет,5,444,
Да,5,445,
Нет,0,445,
Да,5,446,
Нет,0,446,
Да,0,447,
Нет,5,447,
Да,0,448,
Нет,5,448,
Да,5,449,
Нет,0,449,
Да,5,450,Пунктуальность
Нет,0,450,
Да,5,451,Упорство
Нет,0,451,
"а) Позвоните ему и извинитесь, что не можете выполнить его просьбу",5,452,
"б) Будете считать, что болезнь освобождает вас от обязательств",0,452,
в) Попросите помочь исполнить просьбу кого-нибудь еще,0,452,
"а) Стараетесь убедить его в том, что он плохо поступает, и помогаете ему в разрешении его проблемы",5,453,
б) Вообще не реагируете,0,453,
"в) Доверительно передаете свои сведения лицам, которые бы повлияли на него",0,453,
а) Красоту,0,454,
б) Лояльность и уравновешенность,5,454,
в) Симпатичную манеру поведения,0,454,
а) Всегда,1,455,
б) Иногда,2,455,
в) Никогда,3,455,
а) Внутренне  кипите ,1,456,
б) Сохраняете полное спокойствие,2,456,
в) Теряете самообладание,3,456,
а) Самоуверенным и завистливым,1,457,Уверенность
б) Дружелюбным,2,457,
в) Спокойным и не завистливым,3,457,
а) Примите ее с некоторыми опасениями,1,458,
б) Согласитесь без колебаний,2,458,Уверенность
в) Откажетесь от нее ради собственного спокойствия,3,458,
а) Выдадите ему по первое число,1,459,
б) Заставите вернуть,2,459,
"в) Спросите, не нужно ли ему ещё что-нибудь",3,459,
а) Что это тебя так задержало?,1,460,
б) Где ты торчишь допоздна?,2,460,
в) Я уже начал/а волноваться,3,460,
"а) Стараетесь обогнать машину, которая показала вам хвост",1,461,
б) Вам все равно сколько машин вас обошло,2,461,
"в) Помчитесь с такой скоростью, чтобы никто не догнал вас",3,461,
а) Сбалансированными,1,462,
б) Легкомысленными,2,462,
в) Крайне серьёзными,3,462,Планировщик
а) Пытаетесь свалить вину на другого,1,463,
б) Смиритесь,2,463,
в) Становитесь впредь осторожнее,3,463,
а) Пора бы уже запретить им такие развлечения,1,464,
б) Надо создать им возможность организованно и культурно отдыхать,2,464,
в) И чего мы столько с ними возимся,3,464,
а) И зачем я только нервы на это тратил?,1,465,
"б) Видно, его физиономия шефу приятнее",2,465,
"в) Может быть, мне это удастся в другой раз",3,465,
а) Боитесь,1,466,
б) Скучаете,2,466,
в) Получаете искреннее удовольствие,3,466,Любитель ужасов
а) Будете нервничать во время заседания,1,467,
б) Попытаетесь вызвать снисходительность деловых партнеров,2,467,
в) Огорчитесь,3,467,
а) Обязательно стараетесь выиграть,1,468,
б) Цените удовольствие почувствовать себя вновь молодым,2,468,
в) Очень сердитесь если не везёт,3,468,
а) Стерпите избегая скандала,1,469,
б) Вызовите официанта и сделаете ему замечание,2,469,
в) Отправитесь с жалобой к директору ресторана,3,469,
а) Поговорите с учителем,1,470,
б) Устроите скандал родителям малолетнего преступника,2,470,
в) Посоветуете ребенку дать сдачи,3,470,
а) Средний,1,471,
б) Самоуверенный,2,471,Уверенность
в) Упрямый,3,471,Упрямство
"а) Простите, это моя вина",1,472,
б) Ничего пустяк,2,472,
в) А повнимательней вы быть не можете?,3,472,
