Id,Name,Language,Priority
157,оман,UK,5
158,пакистан,UK,5
159,палау,UK,5
160,панама,UK,5
161,папуа-нова гвінея,UK,5
162,парагвай,UK,5
163,перу,UK,5
164,філіппіни,UK,5
165,острови піткерн,UK,5
166,польща,UK,1
167,португалія,UK,5
168,пуерто ріко,UK,5
169,катар,UK,5
170,возз'єднання,UK,5
171,румунія,UK,5
172,росія,UK,2
173,руанда,UK,5
174,сен-бартелемі,UK,5
175,"свята єлена, вознесіння і трістан да кунья",UK,5
176,сент-кітс і невіс,UK,5
177,сент-люсія,UK,5
178,святий мартін,UK,5
179,сен-п'єр і мікелон,UK,5
180,сент-вінсент і гренадини,UK,5
181,самоа,UK,5
182,сан-марино,UK,5
183,сан-томе і принсіпі,UK,5
184,саудівська аравія,UK,5
185,сенегал,UK,5
186,сербія,UK,5
187,сейшельські острови,UK,5
188,сьєрра-леоне,UK,5
189,сінгапур,UK,5
190,святий мартен,UK,5
191,словаччина,UK,2
192,словенія,UK,5
193,соломонові острови,UK,5
194,сомалі,UK,5
195,південна африка,UK,5
196,південна джорджія та південні сандвічеві острови,UK,5
197,південна корея,UK,5
198,південний судан,UK,5
199,іспанія,UK,5
200,шрі ланка,UK,5
201,судан,UK,5
202,сурінам,UK,5
203,свальбард,UK,5
204,свазіленд,UK,5
205,швеція,UK,5
206,швейцарія,UK,5
207,сирія,UK,5
208,тайвань,UK,5
209,таджикистан,UK,5
210,танзанія,UK,5
211,таїланд,UK,5
212,багамські острови,UK,5
213,гамбія,UK,5
214,тимор читати,UK,5
215,йти,UK,5
216,тонга,UK,5
217,тринідад і тобаго,UK,5
218,туніс,UK,5
219,туреччина,UK,5
220,туркменістан,UK,5
221,острови теркс і кайкос,UK,5
222,тувалу,UK,5
223,віргінські острови сша,UK,5
224,уганда,UK,5
225,україна,UK,1
226,об'єднані арабські емірати,UK,5
227,об'єднане королівство,UK,3
228,сполучені штати,UK,2
229,уругвай,UK,5
230,узбекистан,UK,5
231,вануату,UK,5
232,ватикан,UK,5
233,венесуела,UK,5
234,в'єтнам,UK,5
235,уолліс і футуна,UK,5
236,західний банк,UK,5
237,ємен,UK,5
238,замбія,UK,5
239,зімбабве,UK,5
